id 2,time,pm10
CU-S0002,2018-02-20,70.83758620689655
CU-S0002,2018-02-21,57.09831325301204
CU-S0002,2018-02-22,25.161808510638316
CU-S0002,2018-02-23,20.839721254355386
CU-S0002,2018-02-24,31.437152777777744
CU-S0002,2018-02-25,49.215185185185184
CU-S0002,2018-02-26,22.512362637362628
CU-S0002,2018-02-27,49.52028169014087
CU-S0002,2018-02-28,39.56215277777778
CU-S0002,2018-03-01,43.53364583333334
CU-S0002,2018-03-02,46.776388888888874
CU-S0002,2018-03-03,53.13343859649121
CU-S0002,2018-03-04,51.901548672566356
CU-S0002,2018-03-05,105.27620209059236
CU-S0002,2018-03-06,102.7025
CU-S0002,2018-03-07,132.51014492753626
CU-S0002,2018-03-08,62.79968641114984
CU-S0002,2018-03-09,36.08090277777782
CU-S0002,2018-03-10,51.591319444444444
CU-S0002,2018-03-11,78.95520833333336
CU-S0002,2018-03-12,76.87951219512196
CU-S0002,2018-03-13,75.70401515151514
CU-S0002,2018-03-14,81.41874999999997
CU-S0002,2018-03-15,84.78124999999994
CU-S0002,2018-03-16,76.47627272727267
CU-S0002,2018-03-17,58.67676855895197
CU-S0002,2018-03-18,66.66805555555555
CU-S0002,2018-03-19,80.9156097560976
CU-S0002,2018-03-20,104.68298611111115
CU-S0002,2018-03-21,75.23
CU-S0002,2018-03-22,67.14131944444445
CU-S0002,2018-03-23,64.57631578947368
CU-S0002,2018-03-27,59.7665236051502
CU-S0002,2018-03-28,67.51832752613241
CU-S0002,2018-03-29,63.697152777777696
CU-S0002,2018-03-30,60.71006944444444
CU-S0002,2018-03-31,47.29094076655054
CU-S0002,2018-04-01,49.213159722222194
CU-S0002,2018-04-02,49.98741697416971
CU-S0002,2018-04-03,57.60832752613243
CU-S0002,2018-04-04,58.99691666666668
CU-S0002,2018-04-05,40.26258426966292
CU-S0002,2018-04-06,28.564090909090908
CU-S0002,2018-04-07,8.189583333333337
CU-S0002,2018-04-08,15.949305555555538
CU-S0002,2018-04-09,35.785923344947726
CU-S0002,2018-04-10,54.16195121951214
CU-S0002,2018-04-11,69.00270833333329
CU-S0002,2018-04-12,70.51006944444448
CU-S0002,2018-04-13,68.28090277777773
CU-S0002,2018-04-14,73.97083333333337
CU-S0002,2018-04-15,53.51677290836658
CU-S0002,2018-04-16,21.461328413284157
CU-S0002,2018-04-17,15.406214953271025
CU-S0002,2018-04-18,20.286411149825785
CU-S0002,2018-04-19,41.75620209059232
CU-S0002,2018-04-20,44.435689655172425
CU-S0002,2018-04-21,55.199180327868845
CU-S0002,2018-04-22,60.82312500000001
CU-S0002,2018-04-23,57.59545454545453
CU-S0002,2018-04-24,61.25929824561398
CU-S0002,2018-04-25,50.21941176470589
CU-S0002,2018-04-26,27.064206349206355
CU-S0002,2018-04-28,14.068645833333335
CU-S0002,2018-04-29,12.016363636363636
CU-S0002,2018-05-01,12.889090909090909
CU-S0002,2018-05-02,5.321713286713289
CU-S0002,2018-05-03,8.208333333333334
CU-S0002,2018-05-06,36.18584905660377
CU-S0002,2018-05-07,28.57713178294575
CU-S0002,2018-05-08,36.1403125
CU-S0002,2018-05-09,43.801273885350334
CU-S0002,2018-05-10,29.314705882352943
CU-S0002,2018-05-11,26.413741258741272
CU-S0002,2018-05-12,16.44685314685314
CU-S0002,2018-05-15,19.268618181818177
CU-S0002,2018-05-16,34.09090909090909
CU-S0002,2018-05-17,15.123333333333335
CU-S0002,2018-05-23,9.091592920353985
CU-S0002,2018-05-24,16.76340277777778
CU-S0002,2018-05-25,12.095360824742258
CU-S0002,2018-05-26,12.299305555555552
CU-S0002,2018-05-27,6.0981818181818195
CU-S0002,2018-05-28,6.847999999999999
CU-S0002,2018-05-29,7.473263888888888
CU-S0002,2018-05-30,9.78541666666666
CU-S0002,2018-05-31,8.554861111111116
CU-S0002,2018-06-01,13.935416666666658
CU-S0002,2018-06-02,8.31346153846154
CU-S0002,2018-06-04,10.945859375
CU-S0002,2018-06-06,11.018796992481205
CU-S0002,2018-06-07,5.430175438596491
CU-S0003,2018-02-15,68.05646511627906
CU-S0003,2018-02-16,48.49362369337981
CU-S0003,2018-02-17,50.662068965517236
CU-S0003,2018-02-18,76.79
CU-S0003,2018-02-19,90.03181818181821
CU-S0003,2018-02-20,74.30687500000002
CU-S0003,2018-02-21,70.81611888111883
CU-S0003,2018-02-22,36.998844765342966
CU-S0003,2018-02-23,19.363561151079143
CU-S0003,2018-02-24,30.927430555555564
CU-S0003,2018-02-25,43.82723776223776
CU-S0003,2018-02-26,50.55743589743589
CU-S0003,2018-02-27,35.75541666666666
CU-S0003,2018-02-28,60.26183574879228
CU-S0003,2018-03-01,65.26571428571428
CU-S0003,2018-03-02,65.36540772532184
CU-S0003,2018-03-03,55.66125435540069
CU-S0003,2018-03-04,67.09644599303141
CU-S0003,2018-03-05,86.65657894736843
CU-S0003,2018-03-06,74.90763888888893
CU-S0003,2018-03-07,103.76440559440556
CU-S0003,2018-03-08,82.21143356643356
CU-S0003,2018-03-09,21.90583916083917
CU-S0003,2018-03-10,41.59442508710801
CU-S0003,2018-03-11,64.42611888111891
CU-S0003,2018-03-12,68.49671328671326
CU-S0003,2018-03-13,67.99773519163763
CU-S0003,2018-03-14,75.2608510638298
CU-S0003,2018-03-15,89.26097560975614
CU-S0003,2018-03-16,94.55859154929583
CU-S0003,2018-03-17,80.13243902439021
CU-S0003,2018-03-18,68.39895470383269
CU-S0003,2018-03-19,74.10697916666665
CU-S0003,2018-03-20,83.39528846153841
CU-S0003,2018-03-22,81.78671361502347
CU-S0003,2018-03-23,84.75307692307686
CU-S0003,2018-03-24,93.03958333333327
CU-S0003,2018-03-25,89.29721254355391
CU-S0003,2018-03-26,90.05486111111112
CU-S0003,2018-03-27,71.40312499999999
CU-S0003,2018-03-28,71.45714285714287
CU-S0003,2018-03-29,82.70506993006993
CU-S0003,2018-03-30,85.15508710801397
CU-S0003,2018-03-31,56.409027777777744
CU-S0003,2018-04-01,54.465483870967745
CU-S0003,2018-04-02,53.803975903614486
CU-S0003,2018-04-03,41.256842105263175
CU-S0003,2018-04-04,57.18508771929825
CU-S0003,2018-04-05,37.45151515151517
CU-S0003,2018-04-06,34.592097902097905
CU-S0003,2018-04-07,11.112534722222223
CU-S0003,2018-04-08,19.67730769230768
CU-S0003,2018-04-09,19.16368421052632
CU-S0003,2018-04-10,50.16879844961241
CU-S0003,2018-04-11,64.95828828828826
CU-S0003,2018-04-12,84.9784665226782
CU-S0003,2018-04-13,86.87083333333335
CU-S0003,2018-04-14,87.18576388888889
CU-S0003,2018-04-15,77.76181818181816
CU-S0003,2018-04-16,31.068315789473694
