id,Time,Value
CU-S0003,16-03-2018,189.11718309859165
CU-S0003,17-03-2018,160.26487804878042
CU-S0003,18-03-2018,136.79790940766537
CU-S0003,19-03-2018,148.2139583333333
CU-S0003,20-03-2018,166.79057692307683
CU-S0003,22-03-2018,163.57342723004695
CU-S0003,23-03-2018,169.50615384615372
CU-S0003,24-03-2018,186.07916666666654
CU-S0003,25-03-2018,178.59442508710782
CU-S0003,26-03-2018,180.10972222222225
CU-S0003,27-03-2018,142.80624999999998
CU-S0003,28-03-2018,142.91428571428574
CU-S0003,29-03-2018,165.41013986013985
CU-S0003,30-03-2018,170.31017421602795
CU-S0003,31-03-2018,112.81805555555549
CU-S0003,01-04-2018,108.93096774193549
CU-S0003,02-04-2018,107.60795180722897
CU-S0003,03-04-2018,82.51368421052635
CU-S0003,04-04-2018,114.3701754385965
CU-S0003,05-04-2018,74.90303030303033
CU-S0003,06-04-2018,69.18419580419581
CU-S0003,07-04-2018,22.225069444444447
CU-S0003,08-04-2018,39.35461538461536
CU-S0003,09-04-2018,38.32736842105264
CU-S0003,10-04-2018,100.33759689922482
CU-S0003,11-04-2018,129.91657657657652
CU-S0003,12-04-2018,169.9569330453564
CU-S0003,13-04-2018,173.7416666666667
CU-S0003,14-04-2018,174.37152777777777
CU-S0003,15-04-2018,155.5236363636363
CU-S0003,16-04-2018,62.13663157894739
CU-S0003,17-04-2018,37.00200716845877
CU-S0003,18-04-2018,42.837455830388706
CU-S0003,19-04-2018,69.4520422535211
CU-S0003,20-04-2018,99.70169014084503
CU-S0003,21-04-2018,126.16478873239433
CU-S0003,22-04-2018,148.99312280701758
CU-S0003,23-04-2018,166.84498220640575
CU-S0003,24-04-2018,186.52866197183087
CU-S0003,25-04-2018,108.50694736842101
CU-S0003,26-04-2018,56.43201413427559
CU-S0003,27-04-2018,44.29081272084805
CU-S0003,28-04-2018,44.10731707317072
CU-S0003,29-04-2018,30.715679442508723
CU-S0003,30-04-2018,25.06480836236934
CU-S0003,01-05-2018,35.11716312056737
CU-S0003,02-05-2018,8.670567375886524
CU-S0003,03-05-2018,17.158041958041956
CU-S0003,04-05-2018,21.39448763250883
CU-S0003,05-05-2018,30.432816901408465
CU-S0003,06-05-2018,71.23006535947711
CU-S0003,07-05-2018,86.54598591549293
CU-S0003,08-05-2018,97.4393706293706
CU-S0003,09-05-2018,106.803649122807
CU-S0003,10-05-2018,67.7
CU-S0003,11-05-2018,48.08854092526686
CU-S0003,12-05-2018,34.12118055555557
CU-S0003,13-05-2018,36.33263888888891
CU-S0003,14-05-2018,50.11908450704228
CU-S0003,15-05-2018,42.38170731707316
CU-S0003,20-05-2018,17.40983606557377
CU-S0003,21-05-2018,38.13006993006994
CU-S0003,22-05-2018,48.5201941747573
CU-S0003,23-05-2018,29.054946921443758
CU-S0003,24-05-2018,26.56515679442508
CU-S0003,25-05-2018,41.51719298245615
CU-S0003,26-05-2018,24.389790209790227
CU-S0003,27-05-2018,28.014583333333334
CU-S0003,28-05-2018,12.228251748251758
CU-S0003,29-05-2018,18.336805555555557
CU-S0003,30-05-2018,18.768631578947357
CU-S0003,31-05-2018,16.708807339449546
CU-S0003,01-06-2018,24.0003076923077
CU-S0003,02-06-2018,50.21164912280702
CU-S0003,03-06-2018,25.511777003484323
CU-S0003,04-06-2018,31.073333333333352
CU-S0003,05-06-2018,20.958531468531454
CU-S0003,06-06-2018,17.790035335689055
CU-S0003,07-06-2018,20.27008
CU-S0004,15-02-2018,140.74152046783627
CU-S0004,16-02-2018,95.83310104529612
CU-S0004,17-02-2018,107.88666666666667
CU-S0004,18-02-2018,145.40310077519376
CU-S0004,19-02-2018,143.3004982206406
CU-S0004,20-02-2018,146.86484210526305
CU-S0004,21-02-2018,131.72866197183095
CU-S0004,22-02-2018,68.03692307692307
CU-S0004,23-02-2018,47.09185964912278
CU-S0004,24-02-2018,62.90243902439022
