id,time,pm25
CU-S0002,2018-03-30,50.65243055555553
CU-S0002,2018-03-31,39.62205574912892
CU-S0002,2018-04-01,40.498055555555545
CU-S0002,2018-04-02,41.44247232472323
CU-S0002,2018-04-03,49.018501742160254
CU-S0002,2018-04-04,50.321666666666665
CU-S0002,2018-04-05,34.40303370786519
CU-S0002,2018-04-06,25.620757575757587
CU-S0002,2018-04-07,7.754861111111111
CU-S0002,2018-04-08,14.95798611111111
CU-S0002,2018-04-09,31.092787456445997
CU-S0002,2018-04-10,46.77421602787453
CU-S0002,2018-04-11,63.149027777777796
CU-S0002,2018-04-12,64.27847222222219
CU-S0002,2018-04-13,60.69930555555556
CU-S0002,2018-04-14,69.41111111111117
CU-S0002,2018-04-15,48.1442629482072
CU-S0002,2018-04-16,20.229409594095944
CU-S0002,2018-04-17,14.702336448598121
CU-S0002,2018-04-18,18.699372822299658
CU-S0002,2018-04-19,35.52728222996515
CU-S0002,2018-04-20,37.45350574712645
CU-S0002,2018-04-21,44.863934426229505
CU-S0002,2018-04-22,51.556875
CU-S0002,2018-04-23,47.90839160839158
CU-S0002,2018-04-24,52.43999999999997
CU-S0002,2018-04-25,41.285294117647055
CU-S0002,2018-04-26,25.089047619047623
CU-S0002,2018-04-28,12.995208333333332
CU-S0002,2018-04-29,11.57090909090909
CU-S0002,2018-05-01,12.339090909090912
CU-S0002,2018-05-02,5.016713286713288
CU-S0002,2018-05-03,7.811904761904761
CU-S0002,2018-05-06,32.92735849056604
CU-S0002,2018-05-07,26.044379844961224
CU-S0002,2018-05-08,31.98913194444444
CU-S0002,2018-05-09,37.09235668789808
CU-S0002,2018-05-10,26.908823529411755
CU-S0002,2018-05-11,24.363566433566433
CU-S0002,2018-05-12,15.502097902097894
CU-S0002,2018-05-15,18.074400000000008
CU-S0002,2018-05-16,31.436363636363637
CU-S0002,2018-05-17,14.64
CU-S0002,2018-05-23,8.320796460176991
CU-S0002,2018-05-24,15.952118055555566
CU-S0002,2018-05-25,11.706701030927828
CU-S0002,2018-05-26,11.728368055555547
CU-S0002,2018-05-27,5.598787878787878
CU-S0002,2018-05-28,6.487600000000003
CU-S0002,2018-05-29,6.961458333333334
CU-S0002,2018-05-30,9.176388888888887
CU-S0002,2018-05-31,8.185069444444443
CU-S0002,2018-06-01,12.834722222222224
CU-S0002,2018-06-02,8.077884615384614
CU-S0002,2018-06-04,10.447421874999998
CU-S0002,2018-06-06,10.120075187969924
CU-S0002,2018-06-07,5.247719298245615
CU-S0003,2018-02-15,55.43734883720927
CU-S0003,2018-02-16,40.150069686411165
CU-S0003,2018-02-17,41.065517241379304
CU-S0003,2018-02-18,65.56615384615385
CU-S0003,2018-02-19,80.75000000000001
CU-S0003,2018-02-20,63.31618749999999
CU-S0003,2018-02-21,59.26437062937063
CU-S0003,2018-02-22,32.5097833935018
CU-S0003,2018-02-23,18.35248201438849
CU-S0003,2018-02-24,27.625694444444445
CU-S0003,2018-02-25,37.25534965034965
CU-S0003,2018-02-26,42.140769230769244
CU-S0003,2018-02-27,31.87341666666667
CU-S0003,2018-02-28,48.714975845410635
CU-S0003,2018-03-01,53.00285714285713
CU-S0003,2018-03-02,53.29236051502145
CU-S0003,2018-03-03,45.46668989547039
CU-S0003,2018-03-04,55.338815331010466
CU-S0003,2018-03-05,80.29407894736842
CU-S0003,2018-03-06,66.39652777777773
CU-S0003,2018-03-07,96.41017482517485
CU-S0003,2018-03-08,75.59867132867132
CU-S0003,2018-03-09,20.496188811188812
CU-S0003,2018-03-10,35.84111498257838
CU-S0003,2018-03-11,53.75174825174825
CU-S0003,2018-03-12,58.111818181818194
CU-S0003,2018-03-13,56.20006968641114
CU-S0003,2018-03-14,66.41003546099294
CU-S0003,2018-03-15,82.90630662020898
CU-S0003,2018-03-16,88.12778169014082
CU-S0003,2018-03-17,71.64055749128917
CU-S0003,2018-03-18,58.63108013937282
CU-S0003,2018-03-19,65.09666666666664
CU-S0003,2018-03-20,76.79846153846152
CU-S0003,2018-03-22,74.05821596244131
CU-S0003,2018-03-23,77.57758741258736
CU-S0003,2018-03-24,85.93680555555551
CU-S0003,2018-03-25,81.54041811846687
CU-S0003,2018-03-26,82.57291666666666
CU-S0003,2018-03-27,60.21180555555554
CU-S0003,2018-03-28,61.0271777003484
CU-S0003,2018-03-29,75.53930069930072
CU-S0003,2018-03-30,78.63128919860632
CU-S0003,2018-03-31,48.0611111111111
CU-S0003,2018-04-01,44.69870967741935
CU-S0003,2018-04-02,44.50666666666667
CU-S0003,2018-04-03,35.44203508771931
CU-S0003,2018-04-04,46.62280701754386
CU-S0003,2018-04-05,32.72556818181818
CU-S0003,2018-04-06,30.418076923076903
CU-S0003,2018-04-07,10.542916666666668
CU-S0003,2018-04-08,18.11097902097903
CU-S0003,2018-04-09,18.017894736842102
CU-S0003,2018-04-10,41.7732945736434
CU-S0003,2018-04-11,53.383693693693694
CU-S0003,2018-04-12,79.46507559395253
CU-S0003,2018-04-13,82.45940972222228
CU-S0003,2018-04-14,83.09270833333329
CU-S0003,2018-04-15,72.1721678321679
CU-S0003,2018-04-16,27.459333333333344
CU-S0003,2018-04-17,17.51494623655914
CU-S0003,2018-04-18,19.705653710247343
CU-S0003,2018-04-19,30.866302816901392
CU-S0003,2018-04-20,41.7267957746479
CU-S0003,2018-04-21,52.21232394366197
CU-S0003,2018-04-22,66.04656140350883
CU-S0003,2018-04-23,77.26850533807827
CU-S0003,2018-04-24,87.22542253521124
CU-S0003,2018-04-25,48.26754385964914
CU-S0003,2018-04-26,25.758657243816245
CU-S0003,2018-04-27,20.69275618374556
CU-S0003,2018-04-28,20.691289198606263
CU-S0003,2018-04-29,14.466550522648086
CU-S0003,2018-04-30,11.895749128919862
CU-S0003,2018-05-01,16.52060283687943
CU-S0003,2018-05-02,4.087234042553187
CU-S0003,2018-05-03,8.144755244755249
CU-S0003,2018-05-04,10.216254416961124
CU-S0003,2018-05-05,14.439894366197183
CU-S0003,2018-05-06,31.685098039215685
CU-S0003,2018-05-07,36.90658450704227
CU-S0003,2018-05-08,40.774195804195806
CU-S0003,2018-05-09,44.196245614035085
CU-S0003,2018-05-10,30.004910394265256
CU-S0003,2018-05-11,22.127544483985766
CU-S0003,2018-05-12,15.980347222222235
CU-S0003,2018-05-13,17.28611111111111
CU-S0003,2018-05-14,23.311654929577436
CU-S0003,2018-05-15,20.357560975609754
CU-S0003,2018-05-20,8.268032786885243
CU-S0003,2018-05-21,18.133566433566443
CU-S0003,2018-05-22,23.228543689320393
CU-S0003,2018-05-23,13.819596602972386
CU-S0003,2018-05-24,12.713937282229967
CU-S0003,2018-05-25,19.688421052631586
CU-S0003,2018-05-26,11.42111888111889
CU-S0003,2018-05-27,13.155208333333341
CU-S0003,2018-05-28,5.808076923076922
CU-S0003,2018-05-29,8.695486111111114
CU-S0003,2018-05-30,9.01501754385965
CU-S0003,2018-05-31,7.992018348623851
CU-S0003,2018-06-01,11.41810256410257
CU-S0003,2018-06-02,22.850491228070187
CU-S0003,2018-06-03,12.10794425087108
CU-S0003,2018-06-04,14.54143859649123
CU-S0003,2018-06-05,10.015244755244758
CU-S0003,2018-06-06,8.446007067137808
CU-S0003,2018-06-07,9.682640000000003
CU-S0004,2018-02-12,39.61039647577095
CU-S0004,2018-02-13,41.33554006968643
CU-S0004,2018-02-14,53.41940766550523
CU-S0004,2018-02-15,61.80445993031358
CU-S0004,2018-02-16,40.537804878048775
CU-S0004,2018-02-17,43.78
CU-S0004,2018-02-18,62.998449612403085
CU-S0004,2018-02-19,63.724982206405684
CU-S0004,2018-02-20,66.93919298245616
CU-S0004,2018-02-21,56.27961267605636
CU-S0004,2018-02-22,29.753461538461575
CU-S0004,2018-02-23,22.193368421052636
CU-S0004,2018-02-24,28.163832752613256
CU-S0004,2018-02-25,34.12996515679443
CU-S0004,2018-02-26,27.162430555555538
CU-S0004,2018-02-27,31.71463414634147
CU-S0004,2018-02-28,45.53017543859651
CU-S0004,2018-03-01,51.68380281690141
CU-S0004,2018-03-02,47.089442508710825
CU-S0004,2018-03-03,45.073076923076904
CU-S0004,2018-03-04,68.96607017543859
CU-S0004,2018-03-05,81.74179577464795
CU-S0004,2018-03-06,77.83712280701754
CU-S0004,2018-03-07,104.52874125874123
CU-S0004,2018-03-08,77.41744755244757
CU-S0004,2018-03-09,23.95279720279723
CU-S0004,2018-03-10,35.50349650349651
CU-S0004,2018-03-11,63.01143356643358
CU-S0004,2018-03-12,64.0482978723404
CU-S0004,2018-03-13,50.62784452296821
CU-S0004,2018-03-14,68.13097902097901
CU-S0004,2018-03-15,86.60042553191485
CU-S0004,2018-03-16,82.36626760563382
CU-S0004,2018-03-17,59.732132867132904
CU-S0004,2018-03-18,63.70524475524472
CU-S0004,2018-03-19,68.4653846153846
CU-S0004,2018-03-20,91.84989547038327
CU-S0004,2018-03-21,78.22376306620203
CU-S0004,2018-03-22,79.40923344947736
CU-S0004,2018-03-23,85.84296167247393
CU-S0004,2018-03-24,89.19198606271776
CU-S0004,2018-03-25,81.36041666666674
CU-S0004,2018-03-26,79.55381118881117
CU-S0004,2018-03-27,56.477351916376286
CU-S0004,2018-03-28,59.16180555555555
CU-S0004,2018-03-29,71.4446153846154
CU-S0004,2018-03-30,75.15111888111889
CU-S0004,2018-03-31,40.536678321678295
CU-S0004,2018-04-01,43.86651567944251
CU-S0004,2018-04-02,43.82652631578951
CU-S0004,2018-04-03,38.623003533568884
CU-S0004,2018-04-04,41.913978873239444
CU-S0004,2018-04-05,29.120944055944058
CU-S0004,2018-04-06,29.482160278745642
CU-S0004,2018-04-07,12.581573426573426
CU-S0004,2018-04-08,14.568881118881112
CU-S0004,2018-04-09,20.423122807017535
CU-S0004,2018-04-10,41.169187279151934
CU-S0004,2018-04-11,67.81905923344945
CU-S0004,2018-04-12,86.4840277777778
CU-S0004,2018-04-13,85.00599303135888
CU-S0004,2018-04-14,89.1423611111111
CU-S0004,2018-04-15,68.22842657342659
CU-S0004,2018-04-16,27.475301204819264
CU-S0004,2018-04-17,16.316311475409833
CU-S0004,2018-04-18,18.34130281690142
CU-S0004,2018-04-19,31.139195804195808
CU-S0004,2018-04-20,38.826573426573425
CU-S0004,2018-04-21,52.354650349650356
CU-S0004,2018-04-22,72.3403135888502
CU-S0004,2018-04-23,80.97622377622375
CU-S0004,2018-04-24,103.52246478873232
CU-S0004,2018-04-25,51.83724738675961
CU-S0004,2018-04-26,22.371428571428563
CU-S0004,2018-04-27,18.215191637630678
CU-S0004,2018-04-28,18.223496503496513
CU-S0004,2018-04-29,11.733101045296165
CU-S0004,2018-04-30,9.915689045936393
CU-S0004,2018-05-01,10.15604166666666
CU-S0004,2018-05-02,4.244912280701756
CU-S0004,2018-05-03,7.165381944444446
CU-S0004,2018-05-04,8.834216027874568
CU-S0004,2018-05-05,12.459755244755236
CU-S0004,2018-05-06,16.756886227544904
CU-S0004,2018-05-07,29.741564792176057
CU-S0004,2018-05-08,37.73278745644597
CU-S0004,2018-05-09,43.644999999999996
CU-S0004,2018-05-10,29.567333333333348
CU-S0004,2018-05-11,23.330314685314683
CU-S0004,2018-05-12,21.952380952380956
CU-S0005,2018-02-07,45.81205108421212
CU-S0005,2018-02-08,72.28139534883722
CU-S0005,2018-02-12,35.93062111801241
CU-S0005,2018-02-13,33.687839721254385
CU-S0005,2018-02-14,43.953645833333304
CU-S0005,2018-02-15,45.23784722222222
CU-S0005,2018-02-16,49.279999999999994
CU-S0005,2018-02-19,50.71955465587048
CU-S0005,2018-02-20,53.80859649122808
CU-S0005,2018-02-21,49.812209944751416
CU-S0005,2018-02-22,38.352916666666665
CU-S0005,2018-02-26,26.730354609929073
CU-S0005,2018-02-27,28.052613240418133
CU-S0005,2018-02-28,38.89961672473868
CU-S0005,2018-03-01,41.39131944444444
CU-S0005,2018-03-02,42.879685314685325
CU-S0005,2018-03-03,38.131597222222204
CU-S0005,2018-03-04,49.66076388888891
CU-S0005,2018-03-05,63.07680555555555
CU-S0005,2018-03-06,56.83721254355405
