Series,Time,Value
CU-S0002,13/4/2018,136.5618056
CU-S0002,14/4/2018,147.9416667
CU-S0002,15/4/2018,107.0335458
CU-S0002,16/4/2018,42.92265683
CU-S0002,17/4/2018,30.81242991
CU-S0002,18/4/2018,40.5728223
CU-S0002,19/4/2018,83.51240418
CU-S0002,20/4/2018,88.87137931
CU-S0003,15/2/2018,136.1129302
CU-S0003,16/2/2018,96.98724739
CU-S0003,17/2/2018,101.3241379
CU-S0003,18/2/2018,153.58
CU-S0003,19/2/2018,180.0636364
CU-S0003,20/2/2018,148.61375
CU-S0003,21/2/2018,141.6322378
CU-S0003,22/2/2018,73.99768953
CU-S0003,23/2/2018,38.7271223
CU-S0003,24/2/2018,61.85486111
CU-S0003,25/2/2018,87.65447552
CU-S0003,26/2/2018,101.1148718
CU-S0003,27/2/2018,71.51083333
CU-S0003,28/2/2018,120.5236715
CU-S0003,1/3/2018,130.5314286
CU-S0003,2/3/2018,130.7308155
CU-S0003,3/3/2018,111.3225087
CU-S0003,4/3/2018,134.192892
CU-S0003,5/3/2018,173.3131579
CU-S0003,6/3/2018,149.8152778
CU-S0003,7/3/2018,207.5288112
CU-S0003,8/3/2018,164.4228671
CU-S0003,9/3/2018,43.81167832
CU-S0003,10/3/2018,83.18885017
CU-S0003,11/3/2018,128.8522378
CU-S0003,12/3/2018,136.9934266
CU-S0003,13/3/2018,135.9954704
CU-S0003,14/3/2018,150.5217021
CU-S0003,15/3/2018,178.5219512
CU-S0003,16/3/2018,189.1171831
CU-S0003,17/3/2018,160.264878
CU-S0003,18/3/2018,136.7979094
CU-S0003,19/3/2018,148.2139583
CU-S0003,20/3/2018,166.7905769
CU-S0003,22/3/2018,163.5734272
CU-S0003,23/3/2018,169.5061538
CU-S0003,24/3/2018,186.0791667
CU-S0003,25/3/2018,178.5944251
CU-S0003,26/3/2018,180.1097222
CU-S0003,27/3/2018,142.80625
CU-S0003,28/3/2018,142.9142857
CU-S0003,29/3/2018,165.4101399
CU-S0003,30/3/2018,170.3101742
CU-S0003,31/3/2018,112.8180556
CU-S0003,1/4/2018,108.9309677
CU-S0003,2/4/2018,107.6079518
CU-S0003,3/4/2018,82.51368421
CU-S0003,4/4/2018,114.3701754
CU-S0003,5/4/2018,74.9030303
CU-S0003,6/4/2018,69.1841958
CU-S0003,7/4/2018,22.22506944
CU-S0003,8/4/2018,39.35461538
CU-S0003,9/4/2018,38.32736842
CU-S0003,10/4/2018,100.3375969
CU-S0003,11/4/2018,129.9165766
CU-S0003,12/4/2018,169.956933
CU-S0003,13/4/2018,173.7416667
CU-S0003,14/4/2018,174.3715278
CU-S0003,15/4/2018,155.5236364
CU-S0003,16/4/2018,62.13663158
CU-S0003,17/4/2018,37.00200717
CU-S0003,18/4/2018,42.83745583
CU-S0003,19/4/2018,69.45204225
CU-S0003,20/4/2018,94.1184
CU-S0004,12/2/2018,95.39048458
CU-S0004,13/2/2018,99.5533101
CU-S0004,14/2/2018,127.9993031
CU-S0004,15/2/2018,142.1326829
CU-S0004,16/2/2018,95.83310105
CU-S0004,17/2/2018,107.8866667
CU-S0004,18/2/2018,145.4031008
CU-S0004,19/2/2018,143.3004982
CU-S0004,20/2/2018,146.8648421
CU-S0004,21/2/2018,131.728662
CU-S0004,22/2/2018,68.03692308
CU-S0004,23/2/2018,47.09185965
CU-S0004,24/2/2018,62.90243902
CU-S0004,25/2/2018,80.44738676
CU-S0004,26/2/2018,61.18680556
CU-S0004,27/2/2018,72.98675958
CU-S0004,28/2/2018,112.2792982
CU-S0004,1/3/2018,123.4316901
CU-S0004,2/3/2018,115.4591638
CU-S0004,3/3/2018,109.7524476
CU-S0004,4/3/2018,151.938807
CU-S0004,5/3/2018,174.1094366
CU-S0004,6/3/2018,167.0244912
CU-S0004,7/3/2018,223.4227273
CU-S0004,8/3/2018,166.0923077
CU-S0004,9/3/2018,52.54587413
CU-S0004,10/3/2018,84.23839161
CU-S0004,11/3/2018,141.1542657
CU-S0004,12/3/2018,144.9601418
CU-S0004,13/3/2018,122.8811307
CU-S0004,14/3/2018,148.2941259
CU-S0004,15/3/2018,185.0752482
CU-S0004,16/3/2018,176.1634507
CU-S0004,17/3/2018,137.5537762
CU-S0004,18/3/2018,141.5821678
CU-S0004,19/3/2018,147.8167832
CU-S0004,20/3/2018,196.4354007
CU-S0004,21/3/2018,166.9772822
CU-S0004,22/3/2018,171.2674564
CU-S0004,23/3/2018,184.2392334
CU-S0004,24/3/2018,189.929338
CU-S0004,25/3/2018,177.5444444
CU-S0004,26/3/2018,169.4245455
CU-S0004,27/3/2018,131.5981185
CU-S0004,28/3/2018,134.0088194
CU-S0004,29/3/2018,152.7066434
CU-S0004,30/3/2018,160.7472727
CU-S0004,31/3/2018,96.59909091
CU-S0004,1/4/2018,109.149338
CU-S0004,2/4/2018,107.4346667
CU-S0004,3/4/2018,93.92911661
CU-S0004,4/4/2018,103.2021127
CU-S0004,5/4/2018,67.97587413
CU-S0004,6/4/2018,67.15038328
CU-S0004,7/4/2018,26.60181818
CU-S0004,8/4/2018,30.84125874
CU-S0004,9/4/2018,43.29887719
CU-S0004,10/4/2018,98.34282686
CU-S0004,11/4/2018,146.0875261
CU-S0004,12/4/2018,181.0625
CU-S0004,13/4/2018,177.8809059
CU-S0004,14/4/2018,186.3444444
CU-S0004,15/4/2018,145.703986
CU-S0004,16/4/2018,63.82168675
CU-S0004,17/4/2018,35.17942623
CU-S0004,18/4/2018,38.99387324
CU-S0004,19/4/2018,72.37545455
CU-S0004,20/4/2018,88.5829703
CU-S0005,7/2/2018,112.618268
CU-S0005,8/2/2018,154.6837209
CU-S0005,12/2/2018,86.91743271
CU-S0005,13/2/2018,79.69414634
CU-S0005,14/2/2018,106.3738194
CU-S0005,15/2/2018,108.8298611
CU-S0005,16/2/2018,115.496
CU-S0005,19/2/2018,119.0944939
CU-S0005,20/2/2018,123.2407018
CU-S0005,21/2/2018,117.0648619
CU-S0005,22/2/2018,87.9775
CU-S0005,26/2/2018,60.09092199
CU-S0005,27/2/2018,63.14160279
CU-S0005,28/2/2018,94.3912892
CU-S0005,1/3/2018,100.9736111
CU-S0005,2/3/2018,104.2406294
CU-S0005,3/3/2018,90.625
CU-S0005,4/3/2018,116.93125
CU-S0005,5/3/2018,134.1409722
CU-S0005,6/3/2018,127.2181882
CU-S0005,7/3/2018,182.9470383
CU-S0005,8/3/2018,139.4098601
CU-S0005,9/3/2018,36.45714286
CU-S0005,10/3/2018,66.80277778
CU-S0005,11/3/2018,109.2081944
CU-S0005,12/3/2018,135.7453846
CU-S0005,16/3/2018,152.8887243
CU-S0005,17/3/2018,126.7805556
CU-S0005,18/3/2018,115.8451389
CU-S0005,19/3/2018,119.0870383
CU-S0005,20/3/2018,136.1728223
CU-S0005,21/3/2018,149.8194444
CU-S0005,22/3/2018,144.9631944
CU-S0005,23/3/2018,176.0972222
CU-S0005,24/3/2018,172.2006944
CU-S0005,25/3/2018,162.8409722
CU-S0005,26/3/2018,152.2299652
CU-S0005,27/3/2018,120.4638889
CU-S0005,28/3/2018,120.8865972
CU-S0005,29/3/2018,138.4944444
CU-S0005,30/3/2018,147.1826389
CU-S0005,31/3/2018,96.90347222
CU-S0005,1/4/2018,97.23819444
CU-S0005,2/4/2018,92.29652778
CU-S0005,3/4/2018,65.64643357
CU-S0005,4/4/2018,98.71111111
CU-S0005,9/4/2018,37.6416
CU-S0005,10/4/2018,84.15412587
CU-S0005,11/4/2018,123.5705556
CU-S0005,12/4/2018,153.4589683
CU-S0005,13/4/2018,149.6555556
CU-S0005,14/4/2018,158.1270833
CU-S0005,15/4/2018,135.6708333
CU-S0005,16/4/2018,54.55833333
CU-S0005,17/4/2018,32.08333333
CU-S0005,18/4/2018,34.39722222
CU-S0005,19/4/2018,60.96486111
CU-S0005,20/4/2018,80.46206897
CU-S0006,7/2/2018,116.642889
CU-S0006,12/2/2018,90.95451327
CU-S0006,13/2/2018,95.18195122
CU-S0006,14/2/2018,113.1784722
CU-S0006,15/2/2018,138.0511864
CU-S0006,16/2/2018,65.84825175
CU-S0006,17/2/2018,63.26
CU-S0006,18/2/2018,124.7984496
CU-S0006,19/2/2018,125.2352817
CU-S0006,20/2/2018,129.826014
CU-S0006,21/2/2018,127.0520833
CU-S0006,22/2/2018,85.17880184
CU-S0006,23/2/2018,40.12666667
CU-S0006,24/2/2018,44.07068783
CU-S0006,25/2/2018,62.78954704
CU-S0006,26/2/2018,74.96068441
CU-S0006,27/2/2018,73.47091633
CU-S0006,28/2/2018,101.8794425
CU-S0006,1/3/2018,121.0921528
CU-S0006,2/3/2018,113.8645833
CU-S0006,3/3/2018,94.90833333
CU-S0006,4/3/2018,121.5107317
CU-S0006,5/3/2018,138.229547
CU-S0006,6/3/2018,135.2708333
CU-S0006,7/3/2018,174.7650694
CU-S0006,8/3/2018,147.5938224
CU-S0006,9/3/2018,39.0717
CU-S0006,10/3/2018,41.544
CU-S0006,12/3/2018,128.3302353
CU-S0006,13/3/2018,120.7349129
CU-S0006,14/3/2018,135.4569444
CU-S0006,15/3/2018,156.730979
CU-S0006,16/3/2018,162.7040278
CU-S0006,17/3/2018,148.8618056
CU-S0006,18/3/2018,121.8520833
CU-S0006,19/3/2018,136.6296
CU-S0006,20/3/2018,169.4760279
CU-S0006,21/3/2018,159.2032168
CU-S0006,22/3/2018,164.649614
CU-S0006,23/3/2018,153.4455556
CU-S0006,24/3/2018,158.9361111
CU-S0006,25/3/2018,179.2870833
CU-S0006,26/3/2018,173.8592281
CU-S0006,27/3/2018,137.79125
CU-S0006,28/3/2018,132.3093596
CU-S0006,29/3/2018,158.7927778
CU-S0006,30/3/2018,159.435
CU-S0006,31/3/2018,129.31875
CU-S0006,1/4/2018,122.8319444
CU-S0006,2/4/2018,102.3156794
CU-S0006,3/4/2018,68.31527778
CU-S0006,4/4/2018,104.571215
CU-S0006,5/4/2018,73.32141509
CU-S0006,6/4/2018,68.13725322
CU-S0006,7/4/2018,27.635
CU-S0006,8/4/2018,23.28680556
CU-S0006,9/4/2018,27.75342466
CU-S0006,10/4/2018,118.1995489
CU-S0006,11/4/2018,145.41875
CU-S0006,12/4/2018,164.7307692
CU-S0006,13/4/2018,169.8652962
CU-S0006,14/4/2018,198.323554
CU-S0006,15/4/2018,144.4959722
CU-S0006,16/4/2018,94.20657895
CU-S0006,17/4/2018,54.01098592
CU-S0006,19/4/2018,72.0830303
CU-S0006,20/4/2018,91.80258706
CU-S0008,14/2/2018,120.5179412
CU-S0008,15/2/2018,104.9990972
CU-S0008,16/2/2018,60.44685315
CU-S0008,17/2/2018,111.8866667
CU-S0008,18/2/2018,122.3046154
CU-S0008,19/2/2018,146.6277778
CU-S0008,20/2/2018,127.7035573
CU-S0008,21/2/2018,128.0444444
CU-S0008,22/2/2018,76.4984669
CU-S0008,23/2/2018,29.5625784
CU-S0008,24/2/2018,45.65763889
CU-S0008,25/2/2018,79.30014337
CU-S0008,26/2/2018,78.44655052
CU-S0008,27/2/2018,51.99130435
CU-S0008,28/2/2018,104.8126429
CU-S0008,1/3/2018,109.0119048
CU-S0008,2/3/2018,124.1558974
CU-S0008,5/3/2018,150.2019512
CU-S0008,6/3/2018,146.8729123
CU-S0008,7/3/2018,179.4727273
CU-S0008,8/3/2018,138.3260432
CU-S0008,9/3/2018,37.56659722
CU-S0008,10/3/2018,69.30418118
CU-S0008,11/3/2018,116.1946341
CU-S0008,12/3/2018,126.4822222
CU-S0008,13/3/2018,122.934807
CU-S0008,14/3/2018,130.572973
CU-S0008,16/3/2018,165.3057778
CU-S0008,17/3/2018,143.4995105
CU-S0008,18/3/2018,119.0864684
CU-S0008,19/3/2018,119.7967361
CU-S0008,20/3/2018,133.647619
CU-S0008,22/3/2018,159.075
CU-S0008,23/3/2018,149.6244526
CU-S0008,24/3/2018,174.3400697
CU-S0008,25/3/2018,193.6987456
CU-S0008,26/3/2018,180.5335689
CU-S0008,27/3/2018,151.5849398
CU-S0008,28/3/2018,129.8229426
CU-S0008,29/3/2018,149.8222997
CU-S0008,30/3/2018,160.3467066
CU-S0008,31/3/2018,113.8824444
CU-S0008,1/4/2018,109.5282828
CU-S0008,2/4/2018,110.8045714
CU-S0008,3/4/2018,74.00686567
CU-S0008,4/4/2018,111.7190196
CU-S0008,5/4/2018,75.65298246
CU-S0008,6/4/2018,74.64961404
CU-S0008,7/4/2018,20.59930556
CU-S0008,8/4/2018,29.19444444
CU-S0008,9/4/2018,44.81296167
CU-S0008,10/4/2018,93.17212544
CU-S0008,11/4/2018,136.6954545
CU-S0008,12/4/2018,150.9338525
CU-S0008,13/4/2018,157.3
CU-S0008,14/4/2018,171.6890972
CU-S0008,15/4/2018,161.5426217
CU-S0008,16/4/2018,67.10463768
CU-S0008,17/4/2018,41.59514019
CU-S0008,18/4/2018,43.23381944
CU-S0008,19/4/2018,68.57003484
CU-S0008,20/4/2018,91.47093596
CU-S0009,7/2/2018,115.8000871
CU-S0009,12/2/2018,83.15414634
CU-S0009,16/2/2018,92.428
CU-S0009,20/2/2018,136.3816216
CU-S0009,21/2/2018,89.27317073
CU-S0009,23/2/2018,33.58333333
CU-S0009,28/2/2018,81.3952
CU-S0009,2/3/2018,93.90148936
CU-S0009,5/3/2018,238.5587879
CU-S0009,6/3/2018,146.017037
CU-S0009,7/3/2018,204.1696296
CU-S0009,8/3/2018,108.0436066
CU-S0009,12/3/2018,168.782807
CU-S0009,15/3/2018,152.6724444
CU-S0009,19/3/2018,143.8577778
CU-S0009,20/3/2018,143.7666667
CU-S0009,23/3/2018,114.58
CU-S0009,26/3/2018,139.5540541
CU-S0009,28/3/2018,125.4213953
CU-S0009,29/3/2018,115.0588889
CU-S0009,31/3/2018,128.7984
CU-S0009,4/4/2018,117.3922667
CU-S0009,6/4/2018,91.75904762
CU-S0009,9/4/2018,34.77272727
CU-S0009,10/4/2018,138.9113333
CU-S0009,11/4/2018,122.2330435
CU-S0009,12/4/2018,195.65
CU-S0009,13/4/2018,116.0615385
CU-S0009,16/4/2018,14.56
CU-S0009,17/4/2018,20.79230769
CU-S0010,7/2/2018,123.2135506
CU-S0010,8/2/2018,165.4190476
CU-S0010,12/2/2018,98.93707965
CU-S0010,13/2/2018,82.48085714
CU-S0010,14/2/2018,108.3789226
CU-S0010,15/2/2018,113.014142
CU-S0010,16/2/2018,68.46624113
CU-S0010,19/2/2018,121.4078774
CU-S0010,20/2/2018,126.1821053
CU-S0010,21/2/2018,124.1153477
CU-S0010,22/2/2018,108.0839286
CU-S0010,26/2/2018,64.5989
CU-S0010,27/2/2018,77.9004329
CU-S0010,28/2/2018,97.33503497
CU-S0010,1/3/2018,101.2413208
CU-S0010,2/3/2018,113.7633887
CU-S0010,5/3/2018,126.9323256
CU-S0010,6/3/2018,140.0613333
CU-S0010,7/3/2018,148.8645669
CU-S0010,8/3/2018,186.4962759
CU-S0010,9/3/2018,35.03386667
CU-S0010,12/3/2018,122.6945682
CU-S0010,13/3/2018,119.1885714
CU-S0010,14/3/2018,109.844963
CU-S0010,15/3/2018,141.7993684
CU-S0010,16/3/2018,159.7071397
CU-S0010,17/3/2018,164.5318182
CU-S0010,18/3/2018,115.4045693
CU-S0010,19/3/2018,120.1106475
CU-S0010,20/3/2018,143.1425
CU-S0010,21/3/2018,154.4071685
CU-S0010,22/3/2018,164.1411307
CU-S0010,23/3/2018,143.8500699
CU-S0010,24/3/2018,154.7708333
CU-S0010,25/3/2018,212.0625
CU-S0010,26/3/2018,167.7440972
CU-S0010,27/3/2018,126.2046528
CU-S0010,28/3/2018,118.2741935
CU-S0010,29/3/2018,138.1926214
CU-S0010,30/3/2018,157.686
CU-S0010,2/4/2018,110.2640856
CU-S0010,3/4/2018,51.77507042
CU-S0010,4/4/2018,103.314741
CU-S0010,6/4/2018,80.38721088
CU-S0010,9/4/2018,66.14883721
CU-S0010,10/4/2018,83.30465116
CU-S0010,11/4/2018,120.5284091
CU-S0010,17/4/2018,49.88509434
CU-S0010,18/4/2018,35.61068966
CU-S0010,19/4/2018,45.13365854
CU-S0010,20/4/2018,81.8728
CU-S0011,7/2/2018,137.2000175
CU-S0011,12/2/2018,102.4127434
CU-S0011,13/2/2018,108.8495833
CU-S0011,14/2/2018,115.867108
CU-S0011,15/2/2018,112.2989855
CU-S0011,16/2/2018,65.64513889
CU-S0011,17/2/2018,77.04
CU-S0011,18/2/2018,133.4053968
CU-S0011,19/2/2018,135.7509286
CU-S0011,20/2/2018,133.401193
CU-S0011,21/2/2018,125.4509408
CU-S0011,22/2/2018,89.94443038
CU-S0011,23/2/2018,40.75533742
CU-S0011,24/2/2018,45.51844523
CU-S0011,25/2/2018,64.98888889
CU-S0011,26/2/2018,74.26342593
CU-S0011,27/2/2018,64.1867148
CU-S0011,28/2/2018,95.15657343
CU-S0011,1/3/2018,113.8148905
CU-S0011,2/3/2018,119.1951389
CU-S0011,3/3/2018,111.6227972
CU-S0011,4/3/2018,132.261193
CU-S0011,5/3/2018,157.5622615
CU-S0011,6/3/2018,148.9888502
CU-S0011,7/3/2018,171.4943662
CU-S0011,8/3/2018,161.1384906
CU-S0011,9/3/2018,32.92874172
CU-S0011,10/3/2018,63.53388889
CU-S0011,11/3/2018,112.0427875
CU-S0011,12/3/2018,122.6228807
CU-S0011,13/3/2018,119.7872535
CU-S0011,14/3/2018,137.9982332
CU-S0011,15/3/2018,150.0892958
CU-S0011,16/3/2018,151.4670356
CU-S0011,17/3/2018,146.2695745
CU-S0011,18/3/2018,177.9423599
CU-S0011,19/3/2018,116.4189565
CU-S0011,20/3/2018,127.8403252
CU-S0011,21/3/2018,146.8273469
CU-S0011,22/3/2018,141.6774242
CU-S0011,23/3/2018,141.7384615
CU-S0011,24/3/2018,141.3023438
CU-S0011,25/3/2018,173.8505213
CU-S0011,26/3/2018,164.3989691
CU-S0011,27/3/2018,136.0579592
CU-S0011,28/3/2018,130.7678596
CU-S0011,29/3/2018,146.8870423
CU-S0011,30/3/2018,145.0285906
CU-S0011,31/3/2018,84.18320755
CU-S0011,1/4/2018,102.0789362
CU-S0011,2/4/2018,92.8576259
CU-S0011,3/4/2018,60.39335714
CU-S0011,4/4/2018,89.59866667
CU-S0011,5/4/2018,66.32152778
CU-S0011,6/4/2018,67.42324528
CU-S0011,7/4/2018,28.21303136
CU-S0011,8/4/2018,40.91003509
CU-S0011,9/4/2018,37.35536842
CU-S0011,10/4/2018,87.40070175
CU-S0011,11/4/2018,112.9561404
CU-S0011,17/4/2018,52.35736264
CU-S0011,18/4/2018,32.10918519
CU-S0011,19/4/2018,61.41150215
CU-S0011,20/4/2018,71.08305344
CU-S0012,8/3/2018,252.1
CU-S0012,21/3/2018,32.5
CU-S0013,12/2/2018,89.89964602
CU-S0013,13/2/2018,84.43968254
CU-S0013,14/2/2018,102.4423529
CU-S0013,15/2/2018,110.8974757
CU-S0013,16/2/2018,52.10169742
CU-S0013,17/2/2018,52.56666667
CU-S0013,19/2/2018,124.0383206
CU-S0013,20/2/2018,119.8458333
CU-S0013,21/2/2018,114.6666901
CU-S0013,22/2/2018,98.31813084
CU-S0013,23/2/2018,37.94418605
CU-S0013,26/2/2018,69.50011905
CU-S0013,27/2/2018,63.986875
CU-S0013,28/2/2018,99.27355072
CU-S0013,1/3/2018,95.54736842
CU-S0013,2/3/2018,109.8231621
CU-S0013,3/3/2018,92.28402778
CU-S0013,4/3/2018,117.9147703
CU-S0013,5/3/2018,142.6712676
CU-S0013,6/3/2018,138.1328873
CU-S0013,7/3/2018,180.2729825
CU-S0013,8/3/2018,168.3831579
CU-S0013,9/3/2018,38.09039683
