sensorid,time,pm1
CU-S0001,17-08-18,
CU-S0001,18-08-18,
CU-S0001,19-08-18,
CU-S0001,20-08-18,
CU-S0001,21-08-18,
CU-S0001,22-08-18,
CU-S0001,23-08-18,
CU-S0001,24-08-18,
CU-S0001,25-08-18,
CU-S0001,26-08-18,
CU-S0001,27-08-18,
CU-S0001,28-08-18,
CU-S0001,29-08-18,
CU-S0001,30-08-18,
CU-S0001,31-08-18,
CU-S0001,01-09-18,
CU-S0001,02-09-18,
CU-S0001,03-09-18,
CU-S0001,04-09-18,
CU-S0001,05-09-18,
CU-S0001,06-09-18,
CU-S0001,07-09-18,
CU-S0001,08-09-18,
CU-S0001,09-09-18,
CU-S0001,10-09-18,
CU-S0001,11-09-18,
CU-S0001,12-09-18,
CU-S0001,13-09-18,
CU-S0001,14-09-18,
CU-S0001,15-09-18,
CU-S0001,16-09-18,
CU-S0001,17-09-18,
CU-S0001,18-09-18,
CU-S0001,19-09-18,
CU-S0001,20-09-18,
CU-S0001,21-09-18,
CU-S0001,22-09-18,
CU-S0001,23-09-18,
CU-S0001,24-09-18,
CU-S0001,25-09-18,
CU-S0001,26-09-18,
CU-S0001,27-09-18,
CU-S0001,28-09-18,
CU-S0001,29-09-18,
CU-S0002,31-01-18,
CU-S0002,01-02-18,
CU-S0002,02-02-18,
CU-S0002,03-02-18,
CU-S0002,04-02-18,
CU-S0002,05-02-18,
CU-S0002,06-02-18,
CU-S0002,07-02-18,
CU-S0002,08-02-18,
CU-S0002,09-02-18,
CU-S0002,10-02-18,
CU-S0002,11-02-18,
CU-S0002,12-02-18,23.65540698
CU-S0002,13-02-18,32.746875
CU-S0002,14-02-18,37.55902778
CU-S0002,15-02-18,37.23646853
CU-S0002,16-02-18,29.20505226
CU-S0002,17-02-18,44.89
CU-S0002,18-02-18,47.03692308
CU-S0002,19-02-18,42.59171533
CU-S0002,20-02-18,45.12049261
CU-S0002,21-02-18,37.57192771
CU-S0002,22-02-18,17.21728723
CU-S0002,23-02-18,15.03041812
CU-S0002,24-02-18,20.98159722
CU-S0002,25-02-18,30.22148148
CU-S0002,26-02-18,16.39093407
CU-S0002,27-02-18,29.09228873
CU-S0002,28-02-18,25.01631944
CU-S0002,01-03-18,25.94836806
CU-S0002,02-03-18,29.796875
CU-S0002,03-03-18,34.42424561
CU-S0002,04-03-18,33.09482301
CU-S0002,05-03-18,75.45090592
CU-S0002,06-03-18,72.3065
CU-S0002,07-03-18,91.7384058
CU-S0002,08-03-18,40.46571429
CU-S0002,09-03-18,23.21145833
CU-S0002,10-03-18,35.34166667
CU-S0002,11-03-18,56.71319444
CU-S0002,12-03-18,55.74031359
CU-S0002,13-03-18,53.32659091
CU-S0002,14-03-18,57.13645833
CU-S0002,15-03-18,58.00069444
CU-S0002,16-03-18,52.02945455
CU-S0002,17-03-18,37.28222707
CU-S0002,18-03-18,45.60590278
CU-S0002,19-03-18,56.97714286
CU-S0002,20-03-18,74.366875
CU-S0002,21-03-18,51.56433566
CU-S0002,22-03-18,44.53472222
CU-S0002,23-03-18,42.18947368
CU-S0002,24-03-18,
CU-S0002,25-03-18,
CU-S0002,26-03-18,
CU-S0002,27-03-18,36.34751073
CU-S0002,28-03-18,42.70167247
CU-S0002,29-03-18,39.51052083
CU-S0002,30-03-18,37.375
CU-S0002,31-03-18,28.11362369
CU-S0002,01-04-18,28.49111111
CU-S0002,02-04-18,29.45627306
CU-S0002,03-04-18,35.75909408
CU-S0002,04-04-18,37.10366667
CU-S0002,05-04-18,24.86359551
CU-S0002,06-04-18,18.62734848
CU-S0002,07-04-18,6.107638889
CU-S0002,08-04-18,11.94895833
CU-S0002,09-04-18,23.69299652
CU-S0002,10-04-18,35.92160279
CU-S0002,11-04-18,48.78684028
CU-S0002,12-04-18,49.89861111
CU-S0002,13-04-18,47.17534722
CU-S0002,14-04-18,53.70972222
CU-S0002,15-04-18,37.15350598
CU-S0002,16-04-18,15.36162362
CU-S0002,17-04-18,11.49453271
CU-S0002,18-04-18,14.18090592
CU-S0002,19-04-18,25.89473868
CU-S0002,20-04-18,27.28488506
