sensorid,time,pm1
CU-S0029,28-02-18,30.17951389
CU-S0029,01-03-18,32.56145833
CU-S0029,02-03-18,32.56006944
CU-S0029,03-03-18,30.12326389
CU-S0029,04-03-18,42.15472222
CU-S0029,05-03-18,53.95806452
CU-S0029,06-03-18,48.85814035
CU-S0029,07-03-18,72.65300699
CU-S0029,08-03-18,52.36909722
CU-S0029,09-03-18,14.28159722
CU-S0029,10-03-18,23.62567944
CU-S0029,11-03-18,39.43541667
CU-S0029,12-03-18,46.63888889
CU-S0029,13-03-18,35.90972222
CU-S0029,14-03-18,49.27951389
CU-S0029,15-03-18,60.88680556
CU-S0029,16-03-18,61.91354167
CU-S0029,17-03-18,48.83888889
CU-S0029,18-03-18,42.859375
CU-S0029,19-03-18,44.65173611
CU-S0029,20-03-18,54.67048611
CU-S0029,21-03-18,58.44375
CU-S0029,22-03-18,58.65728155
CU-S0029,23-03-18,65.70769811
CU-S0029,24-03-18,65.69097222
CU-S0029,25-03-18,61.28854167
CU-S0029,26-03-18,57.15659722
CU-S0029,27-03-18,43.60277778
CU-S0029,28-03-18,43.01215278
CU-S0029,29-03-18,52.93506944
CU-S0029,30-03-18,56.95486111
CU-S0029,31-03-18,52.62361111
CU-S0029,01-04-18,
CU-S0029,02-04-18,
CU-S0029,03-04-18,24.15753036
CU-S0029,04-04-18,35.52
CU-S0029,05-04-18,21.86321429
CU-S0029,06-04-18,20.37118056
CU-S0029,07-04-18,8.714930556
CU-S0029,08-04-18,11.5209375
CU-S0029,09-04-18,14.8225784
CU-S0029,10-04-18,27.83125436
CU-S0029,11-04-18,47.63576389
CU-S0029,12-04-18,61.14305556
CU-S0029,13-04-18,60.19578397
CU-S0029,14-04-18,63.23194444
CU-S0029,15-04-18,52.65381944
CU-S0029,16-04-18,20.403125
CU-S0029,17-04-18,
CU-S0029,18-04-18,
CU-S0029,19-04-18,
CU-S0029,20-04-18,30.1492
CU-S0029,21-04-18,38.25451389
CU-S0029,22-04-18,46.78611111
CU-S0029,23-04-18,54.25
CU-S0029,24-04-18,66.89583333
CU-S0029,25-04-18,38.12916667
CU-S0029,26-04-18,18.35975524
CU-S0029,27-04-18,16.43263889
CU-S0029,28-04-18,16.07131944
CU-S0029,29-04-18,8.860763889
CU-S0029,30-04-18,8.878641115
CU-S0029,01-05-18,12.36979094
CU-S0029,02-05-18,3.362152778
CU-S0029,03-05-18,5.977083333
CU-S0029,04-05-18,8.190972222
CU-S0029,05-05-18,9.578125
CU-S0029,06-05-18,15.25069444
CU-S0029,07-05-18,20.40346154
CU-S0029,08-05-18,24.68149826
CU-S0029,09-05-18,28.36194444
CU-S0029,10-05-18,22.37611111
CU-S0029,11-05-18,16.48125
CU-S0029,12-05-18,10.8125
CU-S0029,13-05-18,12.88472222
CU-S0029,14-05-18,14.40458333
CU-S0029,15-05-18,14.578125
CU-S0029,16-05-18,14.12508711
CU-S0029,17-05-18,5.489930556
CU-S0029,18-05-18,13.82638889
CU-S0029,19-05-18,13.69645833
CU-S0029,20-05-18,16.2
CU-S0029,21-05-18,14.92173913
CU-S0029,22-05-18,13.23993056
CU-S0029,23-05-18,9.919791667
CU-S0029,24-05-18,10.79722222
CU-S0029,25-05-18,11.89233449
CU-S0029,26-05-18,8.188888889
CU-S0029,27-05-18,10.62055749
CU-S0029,28-05-18,8.621254355
CU-S0029,29-05-18,5.92641115
CU-S0029,30-05-18,8.712847222
CU-S0029,31-05-18,8.198070175
CU-S0029,01-06-18,
CU-S0029,02-06-18,
CU-S0029,03-06-18,
CU-S0029,04-06-18,
CU-S0029,05-06-18,
CU-S0029,06-06-18,
CU-S0029,07-06-18,
CU-S0029,08-06-18,
CU-S0029,09-06-18,
CU-S0029,10-06-18,
CU-S0029,11-06-18,
CU-S0029,12-06-18,
CU-S0029,13-06-18,
CU-S0029,14-06-18,
CU-S0029,15-06-18,
CU-S0029,16-06-18,
CU-S0029,17-06-18,
CU-S0029,18-06-18,
CU-S0029,19-06-18,
CU-S0029,20-06-18,
CU-S0029,21-06-18,
CU-S0029,22-06-18,
CU-S0029,23-06-18,
CU-S0029,24-06-18,
CU-S0029,25-06-18,
CU-S0029,26-06-18,
CU-S0029,27-06-18,
CU-S0029,28-06-18,
CU-S0029,29-06-18,
CU-S0029,30-06-18,
CU-S0029,01-07-18,
CU-S0029,02-07-18,
CU-S0029,03-07-18,
CU-S0029,04-07-18,
CU-S0029,05-07-18,
CU-S0029,06-07-18,
CU-S0029,07-07-18,
CU-S0029,08-07-18,
CU-S0029,09-07-18,
CU-S0029,10-07-18,
CU-S0029,11-07-18,
CU-S0029,12-07-18,
CU-S0029,13-07-18,
CU-S0029,14-07-18,
CU-S0029,15-07-18,
CU-S0029,16-07-18,
CU-S0029,17-07-18,
CU-S0029,18-07-18,
CU-S0029,19-07-18,
CU-S0029,20-07-18,
CU-S0029,21-07-18,
CU-S0029,22-07-18,
CU-S0029,23-07-18,
CU-S0029,24-07-18,
CU-S0029,25-07-18,
CU-S0029,26-07-18,
CU-S0029,27-07-18,
CU-S0029,28-07-18,
CU-S0029,29-07-18,
CU-S0029,30-07-18,
CU-S0029,31-07-18,
CU-S0029,01-08-18,
CU-S0029,02-08-18,
CU-S0029,03-08-18,
CU-S0029,04-08-18,
CU-S0029,05-08-18,
CU-S0029,06-08-18,
CU-S0029,07-08-18,
CU-S0029,08-08-18,
CU-S0029,09-08-18,
CU-S0029,10-08-18,
CU-S0029,11-08-18,
CU-S0029,12-08-18,
CU-S0029,13-08-18,
CU-S0029,14-08-18,
CU-S0029,15-08-18,
CU-S0029,16-08-18,
CU-S0029,17-08-18,
CU-S0029,18-08-18,
CU-S0029,19-08-18,
CU-S0029,20-08-18,
CU-S0029,21-08-18,
CU-S0029,22-08-18,
CU-S0029,23-08-18,
CU-S0029,24-08-18,
CU-S0029,25-08-18,
CU-S0029,26-08-18,
CU-S0029,27-08-18,
CU-S0029,28-08-18,
CU-S0029,29-08-18,
CU-S0029,30-08-18,
CU-S0029,31-08-18,
CU-S0029,01-09-18,
CU-S0029,02-09-18,
CU-S0029,03-09-18,
CU-S0029,04-09-18,
CU-S0029,05-09-18,
CU-S0029,06-09-18,
CU-S0029,07-09-18,
CU-S0029,08-09-18,
CU-S0029,09-09-18,
CU-S0029,10-09-18,
CU-S0029,11-09-18,
CU-S0029,12-09-18,
CU-S0029,13-09-18,
CU-S0029,14-09-18,
CU-S0029,15-09-18,
CU-S0029,16-09-18,
CU-S0029,17-09-18,
CU-S0029,18-09-18,
CU-S0029,19-09-18,
CU-S0029,20-09-18,
CU-S0029,21-09-18,
CU-S0029,22-09-18,
CU-S0029,23-09-18,
CU-S0029,24-09-18,
CU-S0029,25-09-18,
CU-S0029,26-09-18,
CU-S0029,27-09-18,
CU-S0029,28-09-18,
CU-S0029,29-09-18,
CU-S0030,31-01-18,
CU-S0030,01-02-18,
CU-S0030,02-02-18,
CU-S0030,03-02-18,
CU-S0030,04-02-18,
CU-S0030,05-02-18,
CU-S0030,06-02-18,
CU-S0030,07-02-18,35.30003688
CU-S0030,08-02-18,
CU-S0030,09-02-18,
CU-S0030,10-02-18,
CU-S0030,11-02-18,
CU-S0030,12-02-18,27.98118721
CU-S0030,13-02-18,28.65696429
CU-S0030,14-02-18,
CU-S0030,15-02-18,
CU-S0030,16-02-18,34.86227907
CU-S0030,17-02-18,33.02333333
CU-S0030,18-02-18,47.60387597
CU-S0030,19-02-18,45.62373239
CU-S0030,20-02-18,47.58097222
CU-S0030,21-02-18,38.10119298
CU-S0030,22-02-18,25.88372549
CU-S0030,23-02-18,17.44235088
CU-S0030,24-02-18,20.79230769
CU-S0030,25-02-18,26.02508711
CU-S0030,26-02-18,16.92661355
CU-S0030,27-02-18,25.76801047
CU-S0030,28-02-18,33.11501754
CU-S0030,01-03-18,33.38940559
CU-S0030,02-03-18,33.01849246
CU-S0030,03-03-18,47.60767606
CU-S0030,04-03-18,42.88003509
CU-S0030,05-03-18,63.8658042
CU-S0030,06-03-18,59.84695804
CU-S0030,07-03-18,80.39101754
CU-S0030,08-03-18,49.34877193
CU-S0030,09-03-18,19.09027972
CU-S0030,10-03-18,28.61694737
CU-S0030,11-03-18,58.37034843
CU-S0030,12-03-18,47.89659091
CU-S0030,13-03-18,38.74118056
CU-S0030,14-03-18,53.15644788
CU-S0030,15-03-18,63.02244275
CU-S0030,16-03-18,57.40151943
CU-S0030,17-03-18,53.15132867
CU-S0030,18-03-18,71.05510345
CU-S0030,19-03-18,60.86713208
CU-S0030,20-03-18,72.6214386
CU-S0030,21-03-18,66.33697183
CU-S0030,22-03-18,62.14491166
CU-S0030,23-03-18,76.88676056
CU-S0030,24-03-18,85.33944056
CU-S0030,25-03-18,65.95818815
CU-S0030,26-03-18,57.89887701
CU-S0030,27-03-18,39.91636842
CU-S0030,28-03-18,46.07557895
CU-S0030,29-03-18,49.74676056
CU-S0030,30-03-18,53.98685393
CU-S0030,31-03-18,39.52560976
CU-S0030,01-04-18,32.87784314
CU-S0030,02-04-18,34.6155
CU-S0030,03-04-18,32.11207627
CU-S0030,04-04-18,31.12727273
CU-S0030,05-04-18,26.48876404
CU-S0030,06-04-18,
CU-S0030,07-04-18,10.13507463
CU-S0030,08-04-18,14.96034843
CU-S0030,09-04-18,21.79236934
CU-S0030,10-04-18,36.81314685
CU-S0030,11-04-18,51.64239669
CU-S0030,12-04-18,75.89087912
CU-S0030,13-04-18,69.53854167
CU-S0030,14-04-18,71.07418118
CU-S0030,15-04-18,73.59099379
CU-S0030,16-04-18,21.28888889
CU-S0030,17-04-18,10.71761006
CU-S0030,18-04-18,12.8586747
CU-S0030,19-04-18,21.40969697
CU-S0030,20-04-18,33.66647059
CU-S0030,21-04-18,47.23702602
CU-S0030,22-04-18,55.94018868
CU-S0030,23-04-18,101.7577727
CU-S0030,24-04-18,83.85755187
CU-S0030,25-04-18,53.90714286
CU-S0030,26-04-18,19.96753731
CU-S0030,27-04-18,14.4960274
CU-S0030,28-04-18,14.55147368
CU-S0030,29-04-18,10.44539683
CU-S0030,30-04-18,8.248153846
CU-S0030,01-05-18,6.277807018
CU-S0030,02-05-18,3.294390244
CU-S0030,03-05-18,5.699765625
CU-S0030,04-05-18,7.671433566
CU-S0030,05-05-18,9.259052632
CU-S0030,06-05-18,16.47671329
CU-S0030,07-05-18,25.2997619
CU-S0030,08-05-18,28.59042105
CU-S0030,09-05-18,33.93076923
CU-S0030,10-05-18,
CU-S0030,11-05-18,18.64258475
CU-S0030,12-05-18,11.71851852
CU-S0030,13-05-18,11.27943005
CU-S0030,14-05-18,19.91396
CU-S0030,15-05-18,17.60856643
CU-S0030,16-05-18,20.37872449
CU-S0030,17-05-18,5.550714286
CU-S0030,18-05-18,6.851975806
CU-S0030,19-05-18,15.86518519
CU-S0030,20-05-18,12.29859155
CU-S0030,21-05-18,15.57306748
CU-S0030,22-05-18,15.07711027
CU-S0030,23-05-18,13.23962687
CU-S0030,24-05-18,10.68800905
CU-S0030,25-05-18,13.38496503
CU-S0030,26-05-18,8.826070175
CU-S0030,27-05-18,5.590262172
CU-S0030,28-05-18,5.660479042
CU-S0030,29-05-18,2.965176471
CU-S0030,30-05-18,5.689937107
CU-S0030,31-05-18,5.837929825
CU-S0030,01-06-18,10.38653846
CU-S0030,02-06-18,8.987892857
CU-S0030,03-06-18,12.75114983
CU-S0030,04-06-18,13.70853659
CU-S0030,05-06-18,13.20291367
CU-S0030,06-06-18,7.133581395
CU-S0030,07-06-18,5.55152
CU-S0030,08-06-18,
CU-S0030,09-06-18,
CU-S0030,10-06-18,
CU-S0030,11-06-18,
CU-S0030,12-06-18,
CU-S0030,13-06-18,
CU-S0030,14-06-18,
CU-S0030,15-06-18,
CU-S0030,16-06-18,
CU-S0030,17-06-18,
CU-S0030,18-06-18,
CU-S0030,19-06-18,
CU-S0030,20-06-18,
CU-S0030,21-06-18,
CU-S0030,22-06-18,
CU-S0030,23-06-18,
CU-S0030,24-06-18,
CU-S0030,25-06-18,
CU-S0030,26-06-18,
CU-S0030,27-06-18,
CU-S0030,28-06-18,
CU-S0030,29-06-18,
CU-S0030,30-06-18,
CU-S0030,01-07-18,
CU-S0030,02-07-18,
CU-S0030,03-07-18,
CU-S0030,04-07-18,
CU-S0030,05-07-18,
CU-S0030,06-07-18,
CU-S0030,07-07-18,
CU-S0030,08-07-18,
CU-S0030,09-07-18,
CU-S0030,10-07-18,
CU-S0030,11-07-18,
CU-S0030,12-07-18,
CU-S0030,13-07-18,
CU-S0030,14-07-18,
CU-S0030,15-07-18,
CU-S0030,16-07-18,
CU-S0030,17-07-18,
CU-S0030,18-07-18,
CU-S0030,19-07-18,
CU-S0030,20-07-18,
CU-S0030,21-07-18,
CU-S0030,22-07-18,
CU-S0030,23-07-18,
CU-S0030,24-07-18,
CU-S0030,25-07-18,
CU-S0030,26-07-18,
CU-S0030,27-07-18,
CU-S0030,28-07-18,
CU-S0030,29-07-18,
CU-S0030,30-07-18,
CU-S0030,31-07-18,
CU-S0030,01-08-18,
CU-S0030,02-08-18,
CU-S0030,03-08-18,
CU-S0030,04-08-18,
CU-S0030,05-08-18,
CU-S0030,06-08-18,
CU-S0030,07-08-18,
CU-S0030,08-08-18,
CU-S0030,09-08-18,
CU-S0030,10-08-18,
CU-S0030,11-08-18,
CU-S0030,12-08-18,
CU-S0030,13-08-18,
CU-S0030,14-08-18,
CU-S0030,15-08-18,
CU-S0030,16-08-18,
CU-S0030,17-08-18,
CU-S0030,18-08-18,
CU-S0030,19-08-18,
CU-S0030,20-08-18,
CU-S0030,21-08-18,
CU-S0030,22-08-18,
CU-S0030,23-08-18,
CU-S0030,24-08-18,
CU-S0030,25-08-18,
CU-S0030,26-08-18,
CU-S0030,27-08-18,
CU-S0030,28-08-18,
CU-S0030,29-08-18,
CU-S0030,30-08-18,
CU-S0030,31-08-18,
CU-S0030,01-09-18,
CU-S0030,02-09-18,
CU-S0030,03-09-18,
CU-S0030,04-09-18,
CU-S0030,05-09-18,
CU-S0030,06-09-18,
CU-S0030,07-09-18,
CU-S0030,08-09-18,
CU-S0030,09-09-18,
CU-S0030,10-09-18,
CU-S0030,11-09-18,
CU-S0030,12-09-18,
CU-S0030,13-09-18,
CU-S0030,14-09-18,
CU-S0030,15-09-18,
CU-S0030,16-09-18,
CU-S0030,17-09-18,
CU-S0030,18-09-18,
CU-S0030,19-09-18,
CU-S0030,20-09-18,
CU-S0030,21-09-18,
CU-S0030,22-09-18,
CU-S0030,23-09-18,
CU-S0030,24-09-18,
CU-S0030,25-09-18,
CU-S0030,26-09-18,
CU-S0030,27-09-18,
CU-S0030,28-09-18,
CU-S0030,29-09-18,
CU-S0031,31-01-18,
CU-S0031,01-02-18,
CU-S0031,02-02-18,
CU-S0031,03-02-18,
CU-S0031,04-02-18,
CU-S0031,05-02-18,
CU-S0031,06-02-18,
CU-S0031,07-02-18,
CU-S0031,08-02-18,
CU-S0031,09-02-18,
CU-S0031,10-02-18,
CU-S0031,11-02-18,
CU-S0031,12-02-18,
CU-S0031,13-02-18,
CU-S0031,14-02-18,25.84
CU-S0031,15-02-18,
CU-S0031,16-02-18,
CU-S0031,17-02-18,
CU-S0031,18-02-18,
CU-S0031,19-02-18,
CU-S0031,20-02-18,
CU-S0031,21-02-18,
CU-S0031,22-02-18,
CU-S0031,23-02-18,
CU-S0031,24-02-18,
CU-S0031,25-02-18,
CU-S0031,26-02-18,
CU-S0031,27-02-18,
CU-S0031,28-02-18,
CU-S0031,01-03-18,
CU-S0031,02-03-18,
CU-S0031,03-03-18,
CU-S0031,04-03-18,
CU-S0031,05-03-18,
CU-S0031,06-03-18,
CU-S0031,07-03-18,
CU-S0031,08-03-18,
CU-S0031,09-03-18,
CU-S0031,10-03-18,
CU-S0031,11-03-18,
CU-S0031,12-03-18,
CU-S0031,13-03-18,
CU-S0031,14-03-18,
CU-S0031,15-03-18,
CU-S0031,16-03-18,
CU-S0031,17-03-18,
CU-S0031,18-03-18,
CU-S0031,19-03-18,
CU-S0031,20-03-18,
CU-S0031,21-03-18,
CU-S0031,22-03-18,
CU-S0031,23-03-18,
CU-S0031,24-03-18,
CU-S0031,25-03-18,
CU-S0031,26-03-18,
CU-S0031,27-03-18,
CU-S0031,28-03-18,
CU-S0031,29-03-18,
CU-S0031,30-03-18,
CU-S0031,31-03-18,
CU-S0031,01-04-18,
CU-S0031,02-04-18,
CU-S0031,03-04-18,
CU-S0031,04-04-18,
CU-S0031,05-04-18,
CU-S0031,06-04-18,
CU-S0031,07-04-18,
CU-S0031,08-04-18,
CU-S0031,09-04-18,
CU-S0031,10-04-18,
CU-S0031,11-04-18,
CU-S0031,12-04-18,
CU-S0031,13-04-18,
CU-S0031,14-04-18,
CU-S0031,15-04-18,
CU-S0031,16-04-18,
CU-S0031,17-04-18,
CU-S0031,18-04-18,
CU-S0031,19-04-18,
CU-S0031,20-04-18,
CU-S0031,21-04-18,
CU-S0031,22-04-18,
CU-S0031,23-04-18,
CU-S0031,24-04-18,
CU-S0031,25-04-18,
CU-S0031,26-04-18,
CU-S0031,27-04-18,
CU-S0031,28-04-18,
CU-S0031,29-04-18,
CU-S0031,30-04-18,
CU-S0031,01-05-18,
CU-S0031,02-05-18,
CU-S0031,03-05-18,
CU-S0031,04-05-18,
CU-S0031,05-05-18,
CU-S0031,06-05-18,
CU-S0031,07-05-18,
CU-S0031,08-05-18,
CU-S0031,09-05-18,
CU-S0031,10-05-18,
CU-S0031,11-05-18,
CU-S0031,12-05-18,
CU-S0031,13-05-18,
CU-S0031,14-05-18,
CU-S0031,15-05-18,
CU-S0031,16-05-18,
CU-S0031,17-05-18,
CU-S0031,18-05-18,
CU-S0031,19-05-18,
CU-S0031,20-05-18,
CU-S0031,21-05-18,
CU-S0031,22-05-18,
CU-S0031,23-05-18,
CU-S0031,24-05-18,
CU-S0031,25-05-18,
CU-S0031,26-05-18,
CU-S0031,27-05-18,
CU-S0031,28-05-18,
CU-S0031,29-05-18,
CU-S0031,30-05-18,
CU-S0031,31-05-18,
CU-S0031,01-06-18,
CU-S0031,02-06-18,
CU-S0031,03-06-18,
CU-S0031,04-06-18,
CU-S0031,05-06-18,
CU-S0031,06-06-18,
CU-S0031,07-06-18,
CU-S0031,08-06-18,
CU-S0031,09-06-18,
CU-S0031,10-06-18,
CU-S0031,11-06-18,
CU-S0031,12-06-18,
CU-S0031,13-06-18,
CU-S0031,14-06-18,
CU-S0031,15-06-18,
CU-S0031,16-06-18,
CU-S0031,17-06-18,
CU-S0031,18-06-18,
CU-S0031,19-06-18,
CU-S0031,20-06-18,
CU-S0031,21-06-18,
CU-S0031,22-06-18,
CU-S0031,23-06-18,
CU-S0031,24-06-18,
CU-S0031,25-06-18,
CU-S0031,26-06-18,
CU-S0031,27-06-18,
CU-S0031,28-06-18,
CU-S0031,29-06-18,
CU-S0031,30-06-18,
CU-S0031,01-07-18,
CU-S0031,02-07-18,
CU-S0031,03-07-18,
CU-S0031,04-07-18,
CU-S0031,05-07-18,
CU-S0031,06-07-18,
CU-S0031,07-07-18,
CU-S0031,08-07-18,
CU-S0031,09-07-18,
CU-S0031,10-07-18,
CU-S0031,11-07-18,
CU-S0031,12-07-18,
CU-S0031,13-07-18,
CU-S0031,14-07-18,
CU-S0031,15-07-18,
CU-S0031,16-07-18,
CU-S0031,17-07-18,
CU-S0031,18-07-18,
CU-S0031,19-07-18,
CU-S0031,20-07-18,
CU-S0031,21-07-18,
CU-S0031,22-07-18,
CU-S0031,23-07-18,
CU-S0031,24-07-18,
CU-S0031,25-07-18,
CU-S0031,26-07-18,
CU-S0031,27-07-18,
CU-S0031,28-07-18,
CU-S0031,29-07-18,
CU-S0031,30-07-18,
CU-S0031,31-07-18,
CU-S0031,01-08-18,
CU-S0031,02-08-18,
CU-S0031,03-08-18,
CU-S0031,04-08-18,
CU-S0031,05-08-18,
CU-S0031,06-08-18,
CU-S0031,07-08-18,
CU-S0031,08-08-18,
CU-S0031,09-08-18,
CU-S0031,10-08-18,
CU-S0031,11-08-18,
CU-S0031,12-08-18,
CU-S0031,13-08-18,
CU-S0031,14-08-18,
CU-S0031,15-08-18,
CU-S0031,16-08-18,
CU-S0031,17-08-18,
CU-S0031,18-08-18,
CU-S0031,19-08-18,
CU-S0031,20-08-18,
CU-S0031,21-08-18,
CU-S0031,22-08-18,
CU-S0031,23-08-18,
CU-S0031,24-08-18,
CU-S0031,25-08-18,
CU-S0031,26-08-18,
CU-S0031,27-08-18,
CU-S0031,28-08-18,
CU-S0031,29-08-18,
CU-S0031,30-08-18,
CU-S0031,31-08-18,
CU-S0031,01-09-18,
CU-S0031,02-09-18,
CU-S0031,03-09-18,
CU-S0031,04-09-18,
CU-S0031,05-09-18,
CU-S0031,06-09-18,
CU-S0031,07-09-18,
CU-S0031,08-09-18,
CU-S0031,09-09-18,
CU-S0031,10-09-18,
CU-S0031,11-09-18,
CU-S0031,12-09-18,
CU-S0031,13-09-18,
CU-S0031,14-09-18,
CU-S0031,15-09-18,
CU-S0031,16-09-18,
CU-S0031,17-09-18,
CU-S0031,18-09-18,
CU-S0031,19-09-18,
CU-S0031,20-09-18,
CU-S0031,21-09-18,
CU-S0031,22-09-18,
CU-S0031,23-09-18,
CU-S0031,24-09-18,
CU-S0031,25-09-18,
CU-S0031,26-09-18,
CU-S0031,27-09-18,
CU-S0031,28-09-18,
CU-S0031,29-09-18,
CU-S0032,31-01-18,
CU-S0032,01-02-18,
CU-S0032,02-02-18,
CU-S0032,03-02-18,
CU-S0032,04-02-18,
CU-S0032,05-02-18,
CU-S0032,06-02-18,
CU-S0032,07-02-18,43.10000387
CU-S0032,08-02-18,
CU-S0032,09-02-18,
CU-S0032,10-02-18,
CU-S0032,11-02-18,
CU-S0032,12-02-18,28.30831111
CU-S0032,13-02-18,31.00652632
CU-S0032,14-02-18,48.95408451
CU-S0032,15-02-18,45.71492908
CU-S0032,16-02-18,33.77902098
CU-S0032,17-02-18,37.36896552
CU-S0032,18-02-18,57.19253968
CU-S0032,19-02-18,52.91301418
CU-S0032,20-02-18,53.47628975
CU-S0032,21-02-18,38.29557895
CU-S0032,22-02-18,21.92586572
CU-S0032,23-02-18,17.08643478
CU-S0032,24-02-18,19.99812227
CU-S0032,25-02-18,26.48825784
CU-S0032,26-02-18,19.2880102
CU-S0032,27-02-18,26.53730924
CU-S0032,28-02-18,32.88294737
CU-S0032,01-03-18,35.10097902
CU-S0032,02-03-18,33.61824561
CU-S0032,03-03-18,35.70796491
CU-S0032,04-03-18,51.94414035
CU-S0032,05-03-18,85.13471631
CU-S0032,06-03-18,73.48176678
CU-S0032,07-03-18,89.98039007
CU-S0032,08-03-18,51.64165493
CU-S0032,09-03-18,19.24017668
CU-S0032,10-03-18,39.61236749
CU-S0032,11-03-18,67.35806867
CU-S0032,12-03-18,49.21276
CU-S0032,13-03-18,41.56374558
CU-S0032,14-03-18,61.39519435
CU-S0032,15-03-18,62.60311189
CU-S0032,16-03-18,63.05810078
CU-S0032,17-03-18,49.69270175
CU-S0032,18-03-18,67.8442807
CU-S0032,19-03-18,69.2865371
CU-S0032,20-03-18,82.49521127
CU-S0032,21-03-18,59.29773852
CU-S0032,22-03-18,63.50648936
CU-S0032,23-03-18,70.2085159
CU-S0032,24-03-18,81.99395604
CU-S0032,25-03-18,68.04897163
CU-S0032,26-03-18,60.846
CU-S0032,27-03-18,40.91647773
CU-S0032,28-03-18,47.91487719
CU-S0032,29-03-18,51.48681818
CU-S0032,30-03-18,51.97968421
CU-S0032,31-03-18,30.37815668
CU-S0032,01-04-18,32.88648084
CU-S0032,02-04-18,34.60648515
CU-S0032,03-04-18,33.25291815
CU-S0032,04-04-18,33.12480565
CU-S0032,05-04-18,26.8972067
CU-S0032,06-04-18,23.58205128
CU-S0032,07-04-18,9.126341463
CU-S0032,08-04-18,15.17230769
CU-S0032,09-04-18,16.58312977
CU-S0032,10-04-18,35.78404598
CU-S0032,11-04-18,57.13229965
CU-S0032,12-04-18,67.94834507
CU-S0032,13-04-18,68.50443662
CU-S0032,14-04-18,59.45284211
CU-S0032,15-04-18,47.6466791
CU-S0032,16-04-18,18.74559387
CU-S0032,17-04-18,12.34257042
CU-S0032,18-04-18,17.70450704
CU-S0032,19-04-18,23.71891791
CU-S0032,20-04-18,31.92856618
CU-S0032,21-04-18,50.79292517
CU-S0032,22-04-18,54.63720588
CU-S0032,23-04-18,78.2869395
CU-S0032,24-04-18,85.44858657
CU-S0032,25-04-18,67.68061224
CU-S0032,26-04-18,15.2335
CU-S0032,27-04-18,14.58646853
CU-S0032,28-04-18,12.74248252
CU-S0032,29-04-18,7.83307971
CU-S0032,30-04-18,4.393724138
CU-S0032,01-05-18,5.309405594
CU-S0032,02-05-18,3.873736655
CU-S0032,03-05-18,7.459558824
CU-S0032,04-05-18,7.270212014
CU-S0032,05-05-18,10.01031579
CU-S0032,06-05-18,11.2396124
CU-S0032,07-05-18,22.11637188
CU-S0032,08-05-18,28.54314286
CU-S0032,09-05-18,30.23859031
CU-S0032,10-05-18,22.03503521
CU-S0032,11-05-18,15.59649123
CU-S0032,12-05-18,10.75862944
CU-S0032,13-05-18,
CU-S0032,14-05-18,15.51638655
CU-S0032,15-05-18,15.09660777
CU-S0032,16-05-18,17.93112727
CU-S0032,17-05-18,4.212331288
CU-S0032,18-05-18,8.501770833
CU-S0032,19-05-18,12.4315493
CU-S0032,20-05-18,14.31923664
CU-S0032,21-05-18,
CU-S0032,22-05-18,13.2965873
CU-S0032,23-05-18,5.465343511
CU-S0032,24-05-18,9.685684211
CU-S0032,25-05-18,13.45726316
CU-S0032,26-05-18,7.732412587
CU-S0032,27-05-18,4.618251748
CU-S0032,28-05-18,5.300397112
CU-S0032,29-05-18,2.684391144
CU-S0032,30-05-18,6.043380282
CU-S0032,31-05-18,5.867122807
CU-S0032,01-06-18,6.742922535
CU-S0032,02-06-18,8.155664336
CU-S0032,03-06-18,11.77694737
CU-S0032,04-06-18,11.52557491
CU-S0032,05-06-18,9.270283688
CU-S0032,06-06-18,5.669612676
CU-S0032,07-06-18,5.977983871
CU-S0032,08-06-18,
CU-S0032,09-06-18,
CU-S0032,10-06-18,
CU-S0032,11-06-18,
CU-S0032,12-06-18,
CU-S0032,13-06-18,
CU-S0032,14-06-18,
CU-S0032,15-06-18,
CU-S0032,16-06-18,
CU-S0032,17-06-18,
CU-S0032,18-06-18,
CU-S0032,19-06-18,
CU-S0032,20-06-18,
CU-S0032,21-06-18,
CU-S0032,22-06-18,
CU-S0032,23-06-18,
CU-S0032,24-06-18,
CU-S0032,25-06-18,
CU-S0032,26-06-18,
CU-S0032,27-06-18,
CU-S0032,28-06-18,
CU-S0032,29-06-18,
CU-S0032,30-06-18,
CU-S0032,01-07-18,
CU-S0032,02-07-18,
CU-S0032,03-07-18,
CU-S0032,04-07-18,
CU-S0032,05-07-18,
CU-S0032,06-07-18,
CU-S0032,07-07-18,
CU-S0032,08-07-18,
CU-S0032,09-07-18,
CU-S0032,10-07-18,
CU-S0032,11-07-18,
CU-S0032,12-07-18,
CU-S0032,13-07-18,
CU-S0032,14-07-18,
CU-S0032,15-07-18,
CU-S0032,16-07-18,
CU-S0032,17-07-18,
CU-S0032,18-07-18,
CU-S0032,19-07-18,
CU-S0032,20-07-18,
CU-S0032,21-07-18,
CU-S0032,22-07-18,
CU-S0032,23-07-18,
CU-S0032,24-07-18,
CU-S0032,25-07-18,
CU-S0032,26-07-18,
CU-S0032,27-07-18,
CU-S0032,28-07-18,
CU-S0032,29-07-18,
CU-S0032,30-07-18,
CU-S0032,31-07-18,
CU-S0032,01-08-18,
CU-S0032,02-08-18,
CU-S0032,03-08-18,
CU-S0032,04-08-18,
CU-S0032,05-08-18,
CU-S0032,06-08-18,
CU-S0032,07-08-18,
